TimeSliceSorted,Region,Average PV (ore/kWh),Period
01_SP_16,NO2,62.149676181132996,2030
01_SP_16,NO2,76.9947592141248,2035
01_SP_16,NO2,83.4192602796539,2040
01_SP_16,NO2,58.323948264656096,2045
01_SP_16,NO2,41.8093475459911,2050
01_SP_16,NO3,48.7217581565643,2030
01_SP_16,NO3,75.4734162655127,2035
01_SP_16,NO3,114.456040659335,2040
01_SP_16,NO3,117.734177035367,2045
01_SP_16,NO3,84.7285108015795,2050
01_SP_16,NO4,47.747322993433,2030
01_SP_16,NO4,53.225665216246604,2035
01_SP_16,NO4,55.944613976413095,2040
01_SP_16,NO4,59.855508597262805,2045
01_SP_16,NO4,62.914720085915405,2050
01_SP_16,NO5,68.6142556443142,2030
01_SP_16,NO5,83.0092665222046,2035
01_SP_16,NO5,101.01242437618001,2040
01_SP_16,NO5,63.000746690908294,2045
01_SP_16,NO5,35.6824126900407,2050
01_SP_17,NO1,76.2790320507862,2030
01_SP_17,NO1,85.29669504650431,2035
01_SP_17,NO1,102.65263054662701,2040
01_SP_17,NO1,84.2937712131752,2045
01_SP_17,NO1,56.597221114328704,2050
01_SP_17,NO2,71.2057731842516,2030
01_SP_17,NO2,80.86342079177369,2035
01_SP_17,NO2,87.0065058444656,2040
01_SP_17,NO2,80.4259269316194,2045
01_SP_17,NO2,42.9968788338631,2050
01_SP_17,NO3,57.962673465868896,2030
01_SP_17,NO3,75.9271481402905,2035
01_SP_17,NO3,114.456040659335,2040
01_SP_17,NO3,117.734177035367,2045
01_SP_17,NO3,84.7285108015795,2050
01_SP_17,NO4,56.8034199965516,2030
01_SP_17,NO4,53.225665216246604,2035
01_SP_17,NO4,55.944613976412995,2040
01_SP_17,NO4,59.855508597262805,2045
01_SP_17,NO4,62.914720085915405,2050
01_SP_17,NO5,78.04376106197199,2030
01_SP_17,NO5,87.0374439250044,2035
01_SP_17,NO5,101.01242437618001,2040
01_SP_17,NO5,86.01405225834199,2045
01_SP_17,NO5,44.0636339116547,2050
01_SP_18,NO1,86.7864986681319,2030
01_SP_18,NO1,88.9755567109927,2035
01_SP_18,NO1,102.65263054662701,2040
01_SP_18,NO1,84.2937712131752,2045
01_SP_18,NO1,70.0429087063315,2050
01_SP_18,NO2,81.5030904692503,2030
01_SP_18,NO2,84.4687052229724,2035
01_SP_18,NO2,87.0065058444656,2040
01_SP_18,NO2,80.4259269316194,2045
01_SP_18,NO2,55.0324110638035,2050
01_SP_18,NO3,62.542012955711094,2030
01_SP_18,NO3,75.9271481402905,2035
01_SP_18,NO3,114.456040659335,2040
01_SP_18,NO3,117.734177035367,2045
01_SP_18,NO3,84.7285108015795,2050
01_SP_18,NO4,60.7073317590922,2030
01_SP_18,NO4,53.225665216246604,2035
01_SP_18,NO4,55.944613976412995,2040
01_SP_18,NO4,59.855508597262805,2045
01_SP_18,NO4,62.914720085915405,2050
01_SP_18,NO5,85.79667561616961,2030
01_SP_18,NO5,88.85947414523619,2035
01_SP_18,NO5,101.01242437618001,2040
01_SP_18,NO5,86.01405225834199,2045
01_SP_18,NO5,57.24040775181739,2050
01_SP_19,NO1,90.5576895676586,2030
01_SP_19,NO1,92.4879001705622,2035
01_SP_19,NO1,103.073902424673,2040
01_SP_19,NO1,87.76944107994089,2045
01_SP_19,NO1,78.8438547550297,2050
01_SP_19,NO2,85.1988575507865,2030
01_SP_19,NO2,87.9108018133505,2035
01_SP_19,NO2,87.41935228495069,2040
01_SP_19,NO2,83.8320834010498,2045
01_SP_19,NO2,77.2669776599291,2050
01_SP_19,NO3,70.22148477440149,2030
01_SP_19,NO3,84.0859774537859,2035
01_SP_19,NO3,121.550911540665,2040
01_SP_19,NO3,122.015079443133,2045
01_SP_19,NO3,86.7948517833737,2050
01_SP_19,NO4,68.8170550789134,2030
01_SP_19,NO4,60.834849149308695,2035
01_SP_19,NO4,62.40775787196141,2040
01_SP_19,NO4,63.6820103728988,2045
01_SP_19,NO4,64.4843006868946,2050
01_SP_19,NO5,88.5426819863591,2030
01_SP_19,NO5,90.638142167151,2035
01_SP_19,NO5,101.01242437618001,2040
01_SP_19,NO5,86.01405225834199,2045
01_SP_19,NO5,65.86533487954169,2050
01_SP_20,NO1,94.3492453678206,2030
01_SP_20,NO1,96.2290517109309,2035
01_SP_20,NO1,103.073902424673,2040
01_SP_20,NO1,89.3182111399224,2045
01_SP_20,NO1,79.9758353712299,2050
01_SP_20,NO2,95.7463035371053,2030
01_SP_20,NO2,91.5771303229118,2035
01_SP_20,NO2,87.41935228495069,2040
01_SP_20,NO2,85.3498780598317,2045
01_SP_20,NO2,78.37631866380529,2050
01_SP_20,NO3,71.9275692312503,2030
01_SP_20,NO3,86.54271633693159,2035
01_SP_20,NO3,124.67909667888901,2040
01_SP_20,NO3,125.575871662738,2045
01_SP_20,NO3,90.6992707285474,2050
01_SP_20,NO4,70.4890178466253,2030
01_SP_20,NO4,62.916786344738895,2035
01_SP_20,NO4,65.43269356531451,2040
01_SP_20,NO4,66.9458690502271,2045
01_SP_20,NO4,68.1605593833416,2050
01_SP_20,NO5,92.2584066705178,2030
01_SP_20,NO5,94.3044706767123,2035
01_SP_20,NO5,101.01242437618001,2040
01_SP_20,NO5,87.5318469171239,2045
01_SP_20,NO5,66.9746758834179,2050
01_SP_21,NO1,92.5868438878937,2030
01_SP_21,NO1,94.9758107383964,2035
01_SP_21,NO1,103.498299435628,2040
01_SP_21,NO1,89.8727804837165,2045
01_SP_21,NO1,80.30342168353721,2050
01_SP_21,NO2,93.9839020571785,2030
01_SP_21,NO2,92.24032813559799,2035
01_SP_21,NO2,87.8352613556861,2040
01_SP_21,NO2,85.89335601674989,2045
01_SP_21,NO2,78.6973532498664,2050
01_SP_21,NO3,70.200415780922,2030
