TimeSliceSorted,Region,Average PV (ore/kWh),Period
01_SP_04,NO4,94.2747480408691,2045
01_SP_04,NO4,83.059313212557,2050
01_SP_04,NO5,62.796646052003496,2030
01_SP_04,NO5,87.3760989758358,2035
01_SP_04,NO5,93.2741511937736,2040
01_SP_04,NO5,95.1133022924279,2045
01_SP_04,NO5,87.99447132211,2050
01_SP_05,NO1,63.776063436015,2030
01_SP_05,NO1,89.1592846694232,2035
01_SP_05,NO1,95.1777052983113,2040
01_SP_05,NO1,97.0543900897846,2045
01_SP_05,NO1,89.790276855065,2050
01_SP_05,NO2,62.50054216762889,2030
01_SP_05,NO2,87.4319770808499,2035
01_SP_05,NO2,94.703969192434,2040
01_SP_05,NO2,95.2748058439488,2045
01_SP_05,NO2,88.0803047088544,2050
01_SP_05,NO3,61.5407130797489,2030
01_SP_05,NO3,83.993893848636,2035
01_SP_05,NO3,91.6736245325018,2040
01_SP_05,NO3,94.7530336332306,2045
01_SP_05,NO3,85.56040705557079,2050
01_SP_05,NO4,60.309898813532,2030
01_SP_05,NO4,82.3140161922028,2035
01_SP_05,NO4,89.8401535259664,2040
01_SP_05,NO4,94.7530332136118,2045
01_SP_05,NO4,84.664536323499,2050
01_SP_05,NO5,62.7966460520826,2030
01_SP_05,NO5,87.3760989790198,2035
01_SP_05,NO5,93.274151194663,2040
01_SP_05,NO5,95.11330229118269,2045
01_SP_05,NO5,87.994471321872,2050
01_SP_06,NO1,63.7760634398968,2030
01_SP_06,NO1,89.1592846741729,2035
01_SP_06,NO1,95.1777053067441,2040
01_SP_06,NO1,97.0543901035444,2045
01_SP_06,NO1,89.7902768608579,2050
01_SP_06,NO2,62.5005421690194,2030
01_SP_06,NO2,87.431977081008,2035
01_SP_06,NO2,94.7039691929543,2040
01_SP_06,NO2,95.2748058440992,2045
01_SP_06,NO2,88.0803047172393,2050
01_SP_06,NO3,61.5407131214626,2030
01_SP_06,NO3,85.6285769791421,2035
01_SP_06,NO3,92.2264917687338,2040
01_SP_06,NO3,95.2905394325927,2045
01_SP_06,NO3,86.84131516178789,2050
01_SP_06,NO4,60.3098988690068,2030
01_SP_06,NO4,84.2097910149949,2035
01_SP_06,NO4,92.226491400383,2040
01_SP_06,NO4,95.2905393411683,2045
01_SP_06,NO4,86.8413150246667,2050
01_SP_06,NO5,62.796646052435506,2030
01_SP_06,NO5,87.37609898171999,2035
01_SP_06,NO5,93.2741512006881,2040
01_SP_06,NO5,95.1133022975285,2045
01_SP_06,NO5,87.9944713252602,2050
01_SP_07,NO1,63.776063444204894,2030
01_SP_07,NO1,89.15928467587369,2035
01_SP_07,NO1,95.1777053061943,2040
01_SP_07,NO1,97.0543900938363,2045
01_SP_07,NO1,89.7902768611483,2050
01_SP_07,NO2,62.500542170212,2030
01_SP_07,NO2,87.4319770790706,2035
01_SP_07,NO2,94.70396915267989,2040
01_SP_07,NO2,95.1133023627748,2045
01_SP_07,NO2,88.0803047088312,2050
01_SP_07,NO3,61.540713089326594,2030
01_SP_07,NO3,85.2082519511503,2035
01_SP_07,NO3,91.4086681772995,2040
01_SP_07,NO3,94.50671175320261,2045
01_SP_07,NO3,87.2336089900194,2050
01_SP_07,NO4,60.3098988145269,2030
01_SP_07,NO4,83.5040869754805,2035
01_SP_07,NO4,91.3641451095047,2040
01_SP_07,NO4,94.5067116000964,2045
01_SP_07,NO4,87.2336088390417,2050
01_SP_07,NO5,62.796646052535195,2030
01_SP_07,NO5,87.3760989824997,2035
01_SP_07,NO5,93.2741511988412,2040
01_SP_07,NO5,95.1133022931227,2045
01_SP_07,NO5,87.9944713255465,2050
01_SP_08,NO1,63.77606342007711,2030
01_SP_08,NO1,87.3760989610243,2035
01_SP_08,NO1,89.2293306055676,2040
01_SP_08,NO1,87.5286553455156,2045
01_SP_08,NO1,83.0233061569151,2050
01_SP_08,NO2,62.5005421589219,2030
01_SP_08,NO2,85.6285769967786,2035
01_SP_08,NO2,87.4447439887886,2040
01_SP_08,NO2,85.778081665127,2045
01_SP_08,NO2,81.3628400187602,2050
01_SP_08,NO3,61.540713068932305,2030
01_SP_08,NO3,83.99389003947951,2035
01_SP_08,NO3,89.2293302979068,2040
01_SP_08,NO3,88.4979948703408,2045
01_SP_08,NO3,78.427874677967,2050
01_SP_08,NO4,60.3098988134701,2030
01_SP_08,NO4,82.31401227827949,2035
01_SP_08,NO4,87.4447437082123,2040
01_SP_08,NO4,86.7280353416453,2045
01_SP_08,NO4,76.8593172036087,2050
01_SP_08,NO5,62.796646052624894,2030
01_SP_08,NO5,87.3760989727358,2035
01_SP_08,NO5,91.05033734044319,2040
01_SP_08,NO5,89.3149544206659,2045
01_SP_08,NO5,84.7176592932977,2050
01_SP_09,NO1,63.7760633801026,2030
01_SP_09,NO1,85.62857690745821,2035
01_SP_09,NO1,82.04066288387949,2040
01_SP_09,NO1,79.83046663294189,2045
01_SP_09,NO1,71.0292945771988,2050
01_SP_09,NO2,62.500542115413204,2030
01_SP_09,NO2,83.9160053720095,2035
01_SP_09,NO2,80.39984961350521,2040
01_SP_09,NO2,64.1947932643575,2045
01_SP_09,NO2,60.541870509833494,2050
01_SP_09,NO3,61.54071306691971,2030
01_SP_09,NO3,82.66229199859859,2035
01_SP_09,NO3,82.0406623780869,2040
01_SP_09,NO3,80.6426998236591,2045
01_SP_09,NO3,70.3551200004753,2050
01_SP_09,NO4,60.30989880713601,2030
01_SP_09,NO4,81.0090461696425,2035
01_SP_09,NO4,80.3998491475779,2040
01_SP_09,NO4,79.02984663500061,2045
01_SP_09,NO4,68.9480176945819,2050
01_SP_09,NO5,62.79664605267671,2030
01_SP_09,NO5,87.3760988727463,2035
01_SP_09,NO5,83.7149621134821,2040
01_SP_09,NO5,81.4596598152122,2045
01_SP_09,NO5,72.4788719949041,2050
01_SP_10,NO1,63.776063382063604,2030
01_SP_10,NO1,74.4442543591594,2035
01_SP_10,NO1,75.7713214302428,2040
01_SP_10,NO1,73.97402312793069,2045
01_SP_10,NO1,56.2431749469181,2050
01_SP_10,NO2,62.5005421171213,2030
01_SP_10,NO2,72.955369273196,2035
01_SP_10,NO2,74.2558949626331,2040
01_SP_10,NO2,56.2620337498584,2045
01_SP_10,NO2,54.0468088636621,2050
01_SP_10,NO3,61.5407130672235,2030
01_SP_10,NO3,72.5846946484296,2035
01_SP_10,NO3,75.2122058228305,2040
01_SP_10,NO3,74.6667363879881,2045
01_SP_10,NO3,57.75775504523379,2050
01_SP_10,NO4,60.309898807258904,2030
01_SP_10,NO4,71.1330007667641,2035
01_SP_10,NO4,73.7079617239914,2040
01_SP_10,NO4,73.1734031415706,2045
01_SP_10,NO4,56.60260009831391,2050
01_SP_10,NO5,62.7966460527049,2030
01_SP_10,NO5,75.96352484506289,2035
01_SP_10,NO5,77.3176749148486,2040
01_SP_10,NO5,75.4836970540303,2045
01_SP_10,NO5,57.3909948222795,2050
01_SP_11,NO1,63.776063361926695,2030
01_SP_11,NO1,70.3466976541571,2035
01_SP_11,NO1,72.71580798515859,2040
